nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
ERNAWULAN SYAODIH,6114767,Pendidikan Dasar (S2),1.152,582,5,15
LILI ADI WIBOWO,5984836,Manajemen (S2),1.502,580,5,14
NURYANI RUSTAMAN,5991811,Pendidikan Biologi (S1),2.637,579,7,29
ANDRIA PRAGHOLAPATI,6774276,Keperawatan (D3),974,576,0,15
AGUS RAHAYU,5985049,Manajemen (S3),1.145,516,5,13
YUNUS ABIDIN,257816,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),1.099,508,2,20
AHMAD MUDZAKIR,5994127,Pendidikan Kimia (S2),1.529,504,6,13
SUMARDI,6006460,Unknown,1.442,501,0,23
TEDI SUPRIYADI,5993317,PGSD Penjas Kampus Sumedang (S1),1.074,500,8,12
VANESSA GAFFAR,5993246,Manajemen (S3),1.197,574,7,16
MUNIR,5974517,Pendidikan Ilmu Komputer (S2),2.173,573,6,14
SITI NURBAYANI K,5976314,Pendidikan Sosiologi (S2),1.120,573,2,6
ARI WIDODO,257822,Pendidikan Ilmu Pengetahuan Alam (S2),2.836,569,8,25
HAMIDIE RONALD DANIEL RAY,5978997,Ilmu Keolahragaan (S1),1.080,500,5,8
EENG AHMAN,5991829,Manajemen (S3),1.180,499,6,18
ARJUNI BUDI PANTJAWATI,5994602,Pendidikan Teknik Elektro (S1),937,492,6,7
LILI SOMANTRI,5995390,Sains Informasi Geografi (S1),934,489,4,8
IRMA DARMAWATI,6725313,Keperawatan (D3),1.005,482,2,6
DEDY ACHMAD KURNIADY,5993195,Administrasi Pendidikan (S2),1.193,566,3,9
MAMAT RUHIMAT,5979213,Pendidikan Ilmu Pengetahuan Sosial (S3),1.404,565,4,10
ASEP BAYU DANI NANDIYANTO,5974504,Kimia (S2),13.303,2.513,35,43
ACHMAD SAMSUDIN,257767,Pendidikan Fisika (S1),5.043,1.324,14,28
SYIFAUL FUADA,5981677,Sistem Telekomunikasi (S1),4.311,1.294,15,22
DADANG JUANDI,6042761,Pendidikan Matematika (S3),2.697,1.080,8,20
BUDI MULYANTI,5993841,Teknik Elektro (S1),2.427,1.054,9,10
AGUS RUSDIANA,5975690,Ilmu Keolahragaan (S1),2.157,1.033,4,10
ADE GAFAR ABDULLAH,257412,Pendidikan Teknologi dan Kejuruan (S2),5.421,981,13,19
RINA MARYANTI,6768594,Pendidikan Khusus (S1),1.622,934,9,16
WAWAN SETIAWAN,5977494,Unknown,2.494,911,9,21
NUUR WACHID ABDUL MAJID,6054692,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),1.570,910,4,13
YULIA RAHMAWATI,5999482,Pendidikan Teknologi dan Kejuruan (S3),1.452,778,9,6
HENDRIYANA,6658557,Rekayasa Perangkat Lunak (S1),967,751,1,2
LILIK HASANAH,5994035,Fisika (S1),2.335,750,8,13
ENDI SUHENDI,5976806,Fisika (S1),2.058,745,7,16
TURMUDI,5991823,Pendidikan Matematika (S3),2.338,739,8,15
SRI ANGGRAENI,6006569,Pendidikan Biologi (S2),1.976,737,6,10
LALA SEPTEM RIZA,5975668,Pendidikan Ilmu Komputer (S2),3.015,728,12,16
DENI DARMAWAN,5973309,Pengembangan Kurikulum (S3),2.428,727,5,34
FITRI KHOERUNNISA,258263,Kimia (S1),2.568,723,13,15
TOPIK HIDAYAT,256954,Biologi (S1),2.403,712,7,15
LUTFI NUR,5977298,Desain Produk Industri Kampus Tasikmalaya (S1),885,564,5,11
MUKTIARNI,6745839,Pendidikan Tata Boga (S1),696,562,4,7
DARHIM,6166301,Pendidikan Matematika (S3),1.345,557,8,12
ENOK MARYANI,5975781,Pendidikan Geografi (S3),1.549,554,5,16
SHANDRA RAMA PANJI WULUNG,6680229,Pendidikan Pariwisata (S1),638,549,2,7
AMIR MACHMUD,5974528,Pendidikan Ekonomi (S2),1.221,543,6,18
YAYAN SANJAYA,5978995,Pendidikan Biologi (S2),1.582,537,3,11
MUMU KOMARO,5993878,Pendidikan Teknik Mesin (S1),1.173,528,4,9
VISMAIA S DAMAIANTI,5993885,Pendidikan Bahasa Indonesia (S3),1.138,525,3,12
BETA PARAMITA,258001,Arsitektur (S2),1.201,522,6,9
IWAN SETIAWAN,5995430,Pendidikan Geografi (S1),981,423,4,8
MOHAMMAD ALI,5980905,Pengembangan Kurikulum (S3),1.039,422,3,28
APRI WIYONO,6186779,Pendidikan Teknik Otomotif (S1),552,422,4,5
BACHRUDIN MUSTHAFA,5991800,Linguistik (S3),840,418,3,15
ISROK ATUN,5993192,PGSD Kampus Sumedang (S1),1.281,417,5,14
AHMAD BUKHORI MUSLIM,5974554,Pendidikan Bahasa Inggris (S3),725,414,3,7
MUHAMAD PARHAN,6709291,Pendidikan Ilmu Pengetahuan Sosial (S2),721,413,2,13
FUAD ABDUL HAMIED,5978397,Pendidikan Bahasa Inggris (S2),991,413,5,17
DWI FITRIA AL HUSAENI,6803656,Unknown,434,412,3,8
SRI SETYARINI,6121097,Pendidikan Bahasa Inggris (S3),654,410,2,9
RUDI SUSILANA,5985142,Pengembangan Kurikulum (S3),929,408,2,16
SUNARDI,6656915,Pendidikan Khusus (S3),1.359,403,5,6
ENJUN JUNAETI,5992648,Pendidikan Ilmu Komputer (S1),911,402,4,7
UDIN SUPRIADI,5993561,Ilmu Pendidikan Agama Islam (S1),655,401,2,8
TAUFIK RAMLAN RAMALIS,5994709,Pendidikan Fisika (S2),1.066,401,3,10
AGUS BUDIMAN,5995789,Pendidikan Seni Tari (S1),523,401,3,7
ELAH NURLAELAH,6665327,Pendidikan Matematika (S2),834,399,4,12
YUSUF TRI HERLAMBANG,5987552,PGSD Kampus Cibiru (S1),521,398,1,12
ANDHY SETIAWAN,6040311,Fisika (S1),1.431,396,6,10
YAYAN NURBAYAN,258249,Pendidikan Bahasa Arab (S1),883,391,1,9
UPIK RAHMI,5978408,Keperawatan (D3),723,457,1,7
RIZKY ROSJANUARDI,5978531,Pendidikan Matematika (S2),1.577,456,4,8
WAHYUDIN,5979725,Pendidikan Ilmu Komputer (S2),1.678,451,6,4
DINN WAHYUDIN,5983880,Pendidikan Profesi Guru (Profesi),1.542,444,3,19
HERNANI,6662199,Pendidikan Kimia (S2),1.010,441,6,6
DR.PARLINDUNGAN SINAGA M.SI,5989835,Pendidikan Ilmu Pengetahuan Alam (S3),1.517,438,7,15
DISMAN,5991816,Pendidikan Ekonomi (S3),1.037,433,5,7
DIDI SUHERDI,5978101,Pendidikan Bahasa Inggris (S3),1.043,428,4,15
PUPUNG PURNAWARMAN,5979299,Pendidikan Bahasa Inggris (S3),854,428,4,12
"Prof. DR. ENDANG ROCHYADI, M.PD",6139442,Unknown,766,423,2,8
LILIASARI,5991831,Pendidikan Ilmu Pengetahuan Alam (S3),2.388,636,9,21
RIANDI,5995561,Pendidikan Ilmu Pengetahuan Alam (S3),1.932,629,7,15
DINIE ANGGRAENI DEWI,6684318,PGSD Kampus Cibiru (S1),1.866,622,1,19
EKA CAHYA PRIMA,5977482,Pendidikan IPA (S1),1.688,616,11,16
PARSAORAN SIAHAAN,6088571,Pendidikan Ilmu Pengetahuan Alam (S2),1.753,613,6,16
ERI KURNIAWAN,5994389,Linguistik (S2),1.081,612,4,13
AAN KOMARIAH,6101488,Administrasi Pendidikan (S3),1.996,603,3,26
ELLY MALIHAH,5978468,Pariwisata (S2),1.723,603,2,19
ROER EKA PAWINANTO,6745886,Pendidikan Teknik Otomasi Industri dan Robotika (S1),1.304,587,10,9
MUBIAR AGUSTIN,6128201,Pendidikan Dasar (S2),1.002,582,1,14
YAYA S. KUSUMAH,6676817,Pendidikan Matematika (S3),1.494,481,12,27
JARNAWI AFGANI DAHLAN,5974544,Pendidikan Matematika (S3),1.776,479,7,25
AMUNG MAMUN,5994366,Pendidikan Olahraga (S3),1.048,475,3,14
PUSPO DEWI DIRGANTARI,5980376,Pendidikan Bisnis (S1),954,472,5,9
DADANG SUNDAWA,5990764,Pendidikan Ilmu Pengetahuan Sosial (S3),1.069,469,2,9
DIDIN SARIPUDIN,5984366,Pendidikan Sejarah (S3),1.165,467,8,14
SOFYAN SAURI,5979751,Pendidikan Bahasa Arab (S2),1.003,466,1,18
ASEP YUDI PERMANA,5977218,Arsitektur (S2),880,461,3,13
NANANG PRIATNA,5980973,Pendidikan Matematika (S2),1.487,460,6,15
HENY HENDRAYATI,5994544,Manajemen (S1),923,459,2,10
NOVI SOFIA FITRIASARI,5989748,Sistem Informasi Kelautan (S1),713,390,2,5
NANA SUPRIATNA,5993532,Pendidikan Sejarah (S3),926,390,2,18
RIKI RIDWANA,6659655,Survey Pemetaan dan Informasi Geografis (D3),546,390,3,6
ACE SURYADI,5979226,Unknown,1.117,389,4,21
EYUS SUDIHARTINIH,5975856,Pendidikan Matematika (S1),899,389,2,9
ARIF HUSEIN LUBIS,6755247,Pendidikan Bahasa Korea (S1),735,389,4,9
DASIM BUDIMANSYAH,5979876,Pendidikan Kewarganegaraan (S3),1.125,389,4,27
DADAN DASARI,6000619,Pendidikan Matematika (S2),629,385,2,7
SANDEY TANTRA PARAMITHA,5977670,Ilmu Keolahragaan (S1),890,383,1,5
AHMAD YANI,5975048,Pendidikan Geografi (S3),1.031,381,4,9
WINNY LILIAWATI,257924,Pendidikan Fisika (S2),1.175,380,4,12
EGA TAQWALI BERMAN,5979284,Teknik Mesin (D3),827,379,3,7
SUWATNO,5991814,Pendidikan Ekonomi (S2),1.158,374,2,19
GHULLAM HAMDU,5994188,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),1.042,373,2,14
EUIS KURNIATI,6001374,Pendidikan Anak Usia Dini (S2),800,373,0,13
RENDI RESTIANA SUKARDI,6745722,PGSD Kampus Cibiru (S1),503,372,4,7
PRANA DWIJA ISWARA,5977036,Pendidikan Dasar (S2),1.195,371,4,12
SELLY FERANIE,5978969,Fisika (S1),1.478,369,6,13
MUSTIKA FITRI,5994049,Ilmu Keolahragaan (S1),721,369,3,6
JUJU MASUNAH,258201,Pendidikan Seni (S3),699,367,1,9
SYIHABUDDIN,5990111,Pendidikan Bahasa Arab (S2),860,352,2,16
JUNTIKA NURIHSAN ,5987356,Psikologi Pendidikan (S2),993,352,2,23
SOFYAN ISKANDAR,5991107,Pengembangan Kurikulum (S3),600,350,1,2
WARLIM,6124952,Pendidikan Umum dan Karakter (S2),981,350,0,23
JAJA KUSTIJA,5993968,Pendidikan Teknik Elektro (S1),588,347,3,6
YUDY HENDRAYANA,6661161,Pendidikan Olahraga (S3),580,346,3,10
YAYA WIHARDI,5994413,Ilmu Komputer (S1),785,345,4,7
ANGGI SETIA LENGKANA,5993735,PGSD Penjas Kampus Sumedang (S1),564,344,4,20
TITE JULIANTINE,5995777,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",694,343,1,12
DIDI SUKYADI,5978293,Pendidikan Bahasa Inggris (S1),778,343,4,13
HERI YUSUF MUSLIHIN,6118136,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),531,367,1,7
YUSUF HIDAYAT,6136712,Pendidikan Olahraga (S2),714,366,3,10
INDRA MAMAD GANDIDI,5975145,Pendidikan Teknik Mesin (S1),724,365,7,9
DUDEN SAEPUZAMAN,258293,Pendidikan Fisika (S1),1.392,365,6,13
DELLA AYU LESTARI,6697506,Sistem Informasi Kelautan (S1),432,363,2,3
SYTI SARAH MAESAROH,6681118,Bisnis Digital (S1),391,360,0,0
TRIANTI NUGRAHENI,5995195,Pendidikan Seni (S2),600,359,1,6
YOYOH JUBAEDAH,5993750,Pendidikan Kesejahteraan Keluarga (S1),811,356,2,7
ANI NUR AENI,5993277,PGSD Kampus Sumedang (S1),1.337,355,1,16
MOHAMMAD RINDU FAJAR ISLAMY,6722290,Ilmu Pendidikan Agama Islam (S1),428,355,0,7
DIANA ROCHINTANIAWATI,6140567,Pendidikan IPA (S1),1.273,342,3,15
BAMBANG SUPRIATNO,5992701,Pendidikan Biologi (S2),1.138,340,2,11
AAN HASANAH,6000349,Pendidikan Matematika (S1),432,340,2,6
NURLAN KUSMAEDI,6146204,Ilmu Keolahragaan (S1),611,339,3,11
