name;sinta_id;dept;sinta_score;sinta_3yr_score;affil_score;affil_3yr_score;scopus_h_index;gs_h_index;wos_h_index;scopus_i10_index;gs_i10_index;wos_i10_index;scopus_g_index;gs_g_index;wos_g_index;scopus_article;scopus_citation;scopus_cited_document;gs_article;gs_citation;gs_cited_document;wos_article;wos_citation;wos_cited_document
AGUS RUSDIANA;5975690;S1 - Ilmu Keolahragaan;2745;1306;0;0;10;8;2;10;7;0;1;2;1;27;22;9;79;203;43;10;4;2
SITI FATIMAH;5978161;S2 - Pendidikan Matematika;1531;855;0;0;7;11;;4;12;;1;1;;43;105;20;71;522;43;0;0;0
LALA SEPTEM RIZA;5975668;S2 - Pendidikan Ilmu Komputer;2743;915;0;0;12;15;7;12;21;6;1;1;1;76;577;52;175;964;82;45;312;30
YAYANG FURI FURNAMASARI;6732204;S1 - PGSD Kampus Cibiru;1057;921;0;0;0;6;0;0;3;0;1;2;0;1;0;0;139;373;74;0;0;0
DEDI ROHENDI;5978259;S1 - Pendidikan Teknik Otomotif;1009;425;0;0;5;11;2;2;13;0;2;1;1;22;75;20;99;591;53;21;24;15
NURTI BUDIYANTI;6715332;S1 - Manajemen Resort dan Leisure;490;425;0;0;0;8;0;0;8;0;0;1;0;0;0;0;75;206;31;0;0;0
SRI SETYARINI;6121097;S3 - Pendidikan Bahasa Inggris;675;427;0;0;2;8;0;0;6;0;1;1;1;16;14;5;61;201;35;5;0;0
HENY HENDRAYATI;5994544;S1 - Manajemen;581;365;0;0;2;7;;1;4;;2;1;;11;17;3;136;233;49;0;0;0
GHULLAM HAMDU;5994188;S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya;719;437;0;0;2;13;0;0;18;0;1;1;0;7;5;3;131;1671;78;0;0;0
RIKI RIDWANA;6659655;D3 - Survey Pemetaan dan Informasi Geografis;518;401;0;0;2;5;1;0;0;0;3;1;3;9;11;4;42;54;18;5;7;2
ACE SURYADI;5979226;S3 - Pendidikan Masyarakat;914;403;0;0;3;20;;1;39;;1;1;;19;59;10;130;2075;91;0;0;0
SUWATNO;5991814;S2 - Pendidikan Ekonomi;1045;411;0;0;2;16;2;0;26;0;4;1;4;11;13;5;175;2238;91;10;15;3
SUPRIADI;5994493;S1 - PGSD Kampus Serang;530;334;0;0;2;6;;0;3;;1;2;;5;9;3;54;150;24;0;0;0
APRI WIYONO;6186779;S1 - Pendidikan Teknik Otomotif;437;337;0;0;2;4;2;0;0;0;1;1;3;12;14;5;42;34;11;7;12;5
DINN WAHYUDIN;5983880;Profesi - Pendidikan Profesi Guru;1301;340;0;0;3;16;;1;34;;1;1;;14;33;7;521;2045;198;0;0;0
YANTY WIRZA;6658778;S2 - Pendidikan Bahasa Inggris;539;340;0;0;1;5;0;0;2;0;1;1;0;8;5;2;67;194;28;0;0;0
MUSTIKA NURAMALIA HANDAYANI;5979659;S1 - Pendidikan Teknologi Agroindustri;813;334;0;0;5;8;3;1;8;0;1;1;1;15;61;13;55;186;28;14;20;10
DINI HANDAYANI;6676481;Unknown;946;345;0;0;7;0;;5;0;;1;1;;41;92;21;0;0;0;0;0;0
SANDEY TANTRA PARAMITHA;5977670;S1 - Ilmu Keolahragaan;811;342;0;0;0;5;0;0;3;0;1;1;1;7;0;0;64;147;25;8;0;0
DIDI SUKYADI;5978293;S1 - Pendidikan Bahasa Inggris;723;324;0;0;4;12;1;1;13;0;1;1;3;14;35;8;83;459;37;1;4;1
SUPRIH WIDODO;5978120;S1 - Pendidikan Sistem dan Teknologi Informasi Kampus P;533;326;0;0;2;7;1;0;2;0;1;1;2;14;16;7;83;154;25;3;3;2
MUHAMAD GINA NUGRAHA;258012;S1 - Pendidikan Fisika;907;325;0;0;4;12;2;2;16;0;1;1;2;26;58;16;70;665;42;10;10;6
TAUFIK RAHMAN;6081100;S2 - Pendidikan Ilmu Pengetahuan Alam;572;326;0;0;2;8;;0;6;;1;1;;17;16;7;71;205;41;0;0;0
SETIYA UTARI;5995367;S2 - Pendidikan Fisika;732;329;0;0;5;12;;2;16;;1;1;;25;65;13;89;695;61;0;0;0
USEP SURAHMAN;5978237;S2 - Arsitektur;931;330;0;0;5;7;4;2;5;2;2;2;1;28;85;18;44;145;24;18;50;10
DIAN USDIYANA;6041973;S1 - Pendidikan Matematika;446;332;0;0;2;6;0;2;4;0;1;0;0;14;45;6;38;205;0;0;0;0
NANDI;257576;S2 - Pendidikan Geografi;1218;332;0;0;6;8;2;2;6;0;1;1;1;29;71;18;43;161;21;21;18;8
RAHMAT;5990804;S2 - Pendidikan Kewarganegaraan;693;317;0;0;1;5;1;1;4;0;1;1;1;5;15;2;51;323;14;6;6;1
KARLIMAH;5982248;S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya;637;318;0;0;2;6;1;0;4;0;1;1;2;12;11;8;66;139;40;3;2;2
WAWAN GUNAWAN;5994823;S2 - Linguistik;768;318;0;0;2;5;2;1;5;1;1;4;1;13;73;7;46;265;26;5;56;3
AL AZHARY MASTA;6007709;S1 - Matematika;709;318;0;0;5;6;4;2;4;1;1;1;1;18;64;10;36;121;15;12;45;7
WARLIM;6124952;S2 - Pendidikan Umum dan Karakter;720;319;0;0;0;18;;0;33;;0;1;;0;0;0;612;1419;252;0;0;0
DODI SURYANA;6121280;S1 - Bimbingan Dan Konseling;378;319;0;0;3;4;1;1;1;0;1;1;2;28;40;17;29;62;13;2;3;2
HR AAM HAMDANI;5993854;S1 - Pendidikan Teknik Mesin;604;320;0;0;4;5;4;2;2;1;1;1;1;13;36;6;41;87;20;11;28;4
KUSNANDI;6700094;S2 - Pendidikan Matematika;354;280;0;0;2;9;;0;8;;3;1;;14;17;8;43;194;29;0;0;0
SUMAR HENDAYANA;5994178;S2 - Pendidikan Kimia;1026;321;0;0;9;17;;8;25;;1;1;;30;193;19;110;1194;64;0;0;0
ANY FITRIANI;6004273;S2 - Pendidikan Ilmu Pengetahuan Alam;810;281;0;0;3;12;;1;15;;1;1;;18;72;9;70;767;44;0;0;0
KARTIKA YULIANTI;5979108;S1 - Pendidikan Matematika;553;282;0;0;3;8;;1;7;;3;1;;15;13;5;58;268;27;0;0;0
ANI NUR AENI;5993277;S1 - PGSD Kampus Sumedang;752;282;0;0;1;13;;0;17;;3;2;;8;9;4;220;929;81;0;0;0
CEP UBAD ABDULLAH;6681401;S1 - Pendidikan Pariwisata;681;283;0;0;5;7;3;1;5;1;1;1;1;19;48;10;47;125;22;12;29;8
SYIHABUDDIN;5990111;S2 - Pendidikan Bahasa Arab;693;285;0;0;2;14;0;0;18;0;1;1;0;7;7;4;211;1373;88;0;0;0
TATAT HARTATI;6038950;S2 - Pendidikan Dasar;605;286;0;0;1;11;0;0;16;0;3;1;0;7;6;3;100;475;54;0;0;0
RIDWAN EFENDI;5987645;S1 - Pendidikan Fisika;564;286;0;0;2;6;1;0;2;0;1;1;1;17;10;4;67;155;33;4;2;2
TATANG MUHTAR;5993773;S2 - Pendidikan Jasmani;616;287;0;0;3;9;;0;8;;3;1;;4;18;4;99;339;39;0;0;0
SITI SRIYATI;6004536;S2 - Pendidikan Biologi;619;288;0;0;4;9;0;1;9;0;1;1;0;21;37;10;96;339;56;0;0;0
SAPRIYA;5987047;S2 - Pendidikan Kewarganegaraan;629;333;0;0;3;12;0;1;16;0;1;1;0;19;33;8;79;1061;49;0;0;0
NANDANG BUDIMAN;5995137;S2 - Psikologi Pendidikan;422;322;0;0;2;12;0;0;12;0;1;1;1;10;9;4;42;1139;26;1;0;0
MULYANA;5984860;S1 - Pendidikan Kepelatihan Olahraga;852;323;0;0;2;4;0;0;1;0;1;1;0;8;6;3;42;46;10;0;0;0
NAHADI;5978998;S2 - Pendidikan Kimia;890;345;0;0;4;7;1;2;6;0;1;1;2;30;49;14;69;205;42;8;4;3
RENDI RESTIANA SUKARDI;6745722;S1 - PGSD Kampus Cibiru;517;346;0;0;4;5;2;0;3;0;2;2;2;15;29;10;28;83;17;10;13;5
NANDANG RUSMANA;5995335;S3 - Bimbingan Dan Konseling;545;302;0;0;2;10;0;0;11;0;1;1;0;11;12;7;93;601;46;0;0;0
MOHAMMAD RINDU FAJAR ISLAMY;6722290;S1 - Ilmu Pendidikan Agama Islam;367;298;0;0;0;6;0;0;6;0;0;1;0;0;0;0;40;111;17;0;0;0
RIRIN SISPIYATI;5986406;S1 - Pendidikan Matematika;478;303;0;0;2;6;0;0;4;0;1;1;0;11;16;5;33;111;20;0;0;0
DINDIN ABDUL MUIZ LIDINILLAH;5977469;S1 - PGSD Kampus Tasikmalaya;551;307;0;0;1;11;1;0;13;0;1;1;2;8;5;4;108;675;63;2;1;1
JUANG AKBARDIN;5979018;S1 - Teknik Sipil;548;306;0;0;4;6;0;1;3;0;3;1;0;16;42;9;61;129;33;0;0;0
SUMARTO;5979244;S3 - Pendidikan Teknologi dan Kejuruan;970;305;0;0;3;18;4;0;19;4;1;1;2;31;29;15;65;1707;36;13;121;7
YAYA WIHARDI;5994413;S1 - Ilmu Komputer;552;307;0;0;4;6;;0;1;;1;1;;20;39;12;36;101;20;0;0;0
HANA RUWAIDAH;6675247;Unknown;1822;308;0;0;0;141;;0;740;;0;0;;0;0;0;2053;107985;0;0;0;0
HERMAN SUBARJAH;5994028;S3 - Pendidikan Olahraga;690;304;0;0;3;11;1;0;11;0;1;1;2;8;16;6;113;552;58;4;1;1
WIDI PURWIANINGSIH;6004348;S2 - Pendidikan Biologi;840;348;0;0;4;8;2;0;6;0;1;1;1;20;35;13;68;296;43;17;9;6
IRMA RAHMA SUWARMA;5983995;S2 - Pendidikan Fisika;645;310;0;0;4;13;;1;15;;1;1;;20;50;12;72;576;48;0;0;0
ANGGI SETIA LENGKANA;5993735;S1 - PGSD Penjas Kampus Sumedang;497;317;0;0;3;12;0;0;13;0;2;1;0;7;22;6;36;480;26;0;0;0
ALI ISMAIL;5993063;S1 - PGSD Kampus Sumedang;452;312;0;0;3;7;;0;7;;1;2;;14;28;10;35;210;26;0;0;0
DITA AMANAH;5976422;S1 - Pendidikan Bisnis;648;313;0;0;2;16;0;0;29;0;1;1;1;4;13;3;145;1215;92;1;0;0
JUDHISTIRA ARIA UTAMA;6125861;S1 - Fisika;964;314;0;0;4;6;2;1;3;1;1;1;1;29;47;13;92;124;34;0;0;0
TAOPIK RAHMAN;5978619;S1 - PGPAUD Kampus Tasikmalaya;471;315;0;0;1;6;0;0;4;0;1;1;0;3;1;1;66;156;33;0;0;0
NURJANAH;5995393;S1 - Pendidikan Matematika;495;313;0;0;3;6;0;0;4;0;1;4;0;17;26;12;9;73;8;0;0;0
YETI MULYATI;5993970;S3 - Pendidikan Bahasa Indonesia;573;314;0;0;2;13;0;0;15;0;1;1;0;12;10;5;143;1020;61;0;0;0
NURLAN KUSMAEDI;6146204;S1 - Ilmu Keolahragaan;535;316;0;0;1;10;;0;10;;2;1;;9;6;5;79;362;35;0;0;0
SARIWULAN DIANA;6035050;S1 - Pendidikan Biologi;823;288;0;0;2;8;2;0;5;0;1;1;1;19;19;9;62;246;35;14;10;3
YOYOH JUBAEDAH;5993750;S1 - Pendidikan Kesejahteraan Keluarga;631;289;0;0;1;6;1;0;1;0;3;1;1;4;6;2;76;114;34;6;4;2
EUIS KURNIATI;6001374;S2 - Pendidikan Anak Usia Dini;468;295;0;0;0;11;;0;12;;1;1;;4;0;0;83;2517;47;0;0;0
NURDINAH HANIFAH;5992549;S1 - PGSD Kampus Sumedang;707;315;0;0;1;13;;0;16;;1;1;;7;6;4;116;939;59;0;0;0
FARAH AYUNDA YASMIN;6739238;Unknown;703;292;0;0;0;20;;0;52;;0;1;;0;0;0;686;2695;291;0;0;0
VINA DWIYANTI;6745842;S1 - Teknik Logistik;349;295;0;0;2;4;;0;2;;1;1;;10;11;5;33;145;13;0;0;0
UDIN SUPRIADI;5993561;S1 - Ilmu Pendidikan Agama Islam;533;296;0;0;1;6;0;0;4;0;1;1;0;4;3;1;60;180;32;0;0;0
LILIT RUSYATI;6102491;S1 - Pendidikan IPA;586;295;0;0;3;5;;0;3;;1;3;;26;28;16;41;112;26;0;0;0
HERY SUPIARZA;6664624;S1 - Film dan Televisi;357;288;0;0;0;7;0;0;5;0;1;1;1;1;0;0;27;116;17;1;0;0
SITI KOMARIAH;5976333;S2 - Pendidikan Sosiologi;505;298;0;0;1;7;0;0;4;0;1;1;1;6;1;1;54;158;27;0;0;0
VIDI SUKMAYADI;5975463;S1 - Ilmu Komunikasi;574;412;0;0;4;6;3;1;4;0;3;1;3;14;38;10;41;129;20;8;18;5
TRIANTI NUGRAHENI;5995195;S2 - Pendidikan Seni;455;297;0;0;1;4;0;0;1;0;1;1;1;4;4;1;57;57;18;11;0;0
YUDY HENDRAYANA;6661161;S3 - Pendidikan Olahraga;575;317;0;0;2;9;2;1;8;0;5;7;2;11;24;4;73;208;35;8;7;3
JUNTIKA NURIHSAN ;5987356;S2 - Psikologi Pendidikan;733;417;0;0;2;21;1;0;39;0;1;3;1;13;9;4;143;5278;94;9;2;1
SHANDRA RAMA PANJI WULUNG;6680229;S1 - Pendidikan Pariwisata;491;421;0;0;2;6;1;0;2;0;1;1;1;5;5;3;55;111;30;2;2;1
ENOK MARYANI;5975781;S3 - Pendidikan Geografi;1208;418;0;0;4;13;3;1;20;0;1;1;3;34;63;19;180;979;91;25;20;11
NURIA HARISTIANI;5994096;S2 - Pendidikan Bahasa Jepang;834;420;0;0;7;8;5;6;6;2;1;1;5;14;107;11;63;223;25;7;32;5
ELLY MALIHAH;5978468;S2 - Pariwisata;1158;421;0;0;2;17;1;0;28;0;1;1;1;12;9;4;204;3322;105;24;7;6
BACHRUDIN MUSTHAFA;5991800;S3 - Linguistik;689;422;0;0;3;14;;1;23;;1;1;;16;26;8;138;1019;81;0;0;0
YAYAN SANJAYA;5978995;S2 - Pendidikan Biologi;1300;510;0;0;3;9;2;0;9;0;1;1;1;41;39;17;112;322;56;21;18;7
RIZKY ROSJANUARDI;5978531;S2 - Pendidikan Matematika;1658;514;0;0;3;7;3;0;3;0;1;1;1;36;46;17;94;190;46;28;27;14
YULIANETA;6122021;S2 - Pendidikan Bahasa Indonesia Bagi Penutur Asing;773;519;0;0;0;5;;0;1;;1;1;;4;0;0;98;69;19;0;0;0
DR. M. SOLEHUDDIN, M.PD., M.A.;5995348;S3 - Bimbingan Dan Konseling;694;348;0;0;3;10;1;0;10;0;2;1;2;16;24;10;42;379;22;0;0;0
DUDEN SAEPUZAMAN;258293;S1 - Pendidikan Fisika;1272;523;0;0;5;12;4;1;19;0;1;1;1;29;71;19;108;479;67;23;34;11
NANANG WINARNO;6079273;S1 - Pendidikan IPA;765;527;0;0;3;8;2;0;7;0;1;3;2;25;33;14;43;254;36;11;11;7
GALUH YULIANI;5975260;S2 - Kimia;1052;365;0;0;7;9;5;5;8;2;1;1;1;28;133;18;48;220;31;13;55;8
ADANG SUHERMAN;5989871;S3 - Pendidikan Olahraga;1111;526;0;0;4;15;1;2;27;0;1;1;1;29;46;11;135;1860;92;10;4;3
SOFYAN SAURI;5979751;S2 - Pendidikan Bahasa Arab;657;365;0;0;1;17;;0;33;;1;1;;3;6;1;193;1091;93;0;0;0
AHMAD AMINUDIN;6002113;S1 - Fisika;976;529;0;0;5;7;2;1;4;0;1;1;1;28;47;16;73;123;31;12;8;5
RUDI SUSILANA;5985142;S3 - Pengembangan Kurikulum;749;365;0;0;2;14;1;0;17;0;1;1;1;9;7;4;100;5447;54;6;2;1
ASEP SURYANA;5993362;S3 - Administrasi Pendidikan;834;368;0;0;1;10;0;0;10;0;1;1;1;7;3;3;54;437;33;8;0;0
SYAMSU YUSUF LN;5991749;S2 - Bimbingan Dan Konseling;772;372;0;0;2;31;;0;59;;1;1;;11;13;3;195;12922;135;0;0;0
ATEP SUJANA;5993423;S1 - PGSD Kampus Sumedang;1287;529;0;0;4;16;0;0;27;0;2;1;0;14;29;10;159;1167;73;0;0;0
HENDRIYANA;6658557;S1 - Rekayasa Perangkat Lunak;470;374;0;0;0;2;0;0;0;0;1;1;1;5;0;0;20;10;4;1;0;0
MUHAMMAD HANIF;6747537;S1 - PGSD Kampus Serang;422;380;0;0;3;6;2;2;5;0;2;1;0;8;34;6;23;392;10;3;10;3
DEDY ACHMAD KURNIADY;5993195;S2 - Administrasi Pendidikan;967;380;0;0;2;8;1;0;7;0;1;1;1;27;13;9;99;300;43;16;1;1
EGA TAQWALI BERMAN;5979284;D3 - Teknik Mesin;775;381;0;0;2;6;2;0;4;0;1;1;1;14;14;10;78;231;36;14;13;8
DEDE SUGANDI;5989548;S2 - Pendidikan Geografi;792;387;0;0;3;8;;0;5;;1;1;;14;18;5;86;221;48;0;0;0
SITI NURBAYANI K;5976314;S2 - Pendidikan Sosiologi;959;518;0;0;1;6;1;0;4;0;1;1;1;6;3;2;86;193;39;9;2;2
CUCUN SUNAENGSIH;5993226;S1 - PGSD Kampus Sumedang;569;386;0;0;2;9;0;0;8;0;1;1;0;10;9;6;82;352;38;0;0;0
RATNANINGSIH EKO SARDJONO;5979503;S2 - Kimia;1189;390;0;0;6;9;4;3;9;4;2;1;1;26;205;22;56;393;29;22;151;13
DASIM BUDIMANSYAH;5979876;S3 - Pendidikan Kewarganegaraan;931;391;0;0;4;26;1;0;39;0;3;1;1;18;28;9;196;3029;109;12;5;2
IWAN KUSTIAWAN;5996452;D3 - Teknik Elektro;745;392;0;0;4;6;1;2;3;0;1;1;2;29;85;10;47;158;21;0;0;0
MUBIAR AGUSTIN;6128201;Unknown;554;391;0;0;1;13;;0;18;;1;1;;8;1;1;153;1522;81;0;0;0
DEDE ROHMAT;6006073;S3 - Pendidikan Geografi;723;397;0;0;3;7;2;0;5;0;1;1;2;19;22;8;81;302;38;13;10;5
HAFIZIANI EKA PUTRI;5994008;S3 - Pendidikan Geografi;534;396;0;0;2;10;;0;11;;1;2;;12;14;6;69;320;39;0;0;0
MUSLIM;6028471;S2 - Pendidikan Fisika;880;530;0;0;4;9;;1;8;;1;1;;25;44;17;55;279;30;0;0;0
ANA RATNA WULAN;5995001;S1 - Pendidikan Biologi;978;465;0;0;3;14;2;0;21;0;2;1;2;27;37;16;123;720;88;21;13;9
NUUR WACHID ABDUL MAJID;6054692;S1 - Pendidikan Sistem dan Teknologi Informasi Kampus P;736;482;0;0;3;12;1;1;12;0;3;1;1;11;31;8;77;320;43;5;2;2
AHMAD BUKHORI MUSLIM;5974554;S3 - Pendidikan Bahasa Inggris;666;381;0;0;3;6;1;0;5;0;1;2;1;13;23;7;61;212;22;3;2;1
ARJUNI BUDI PANTJAWATI;5994602;S1 - Pendidikan Teknik Elektro;855;398;0;0;4;6;4;0;1;0;1;1;1;31;49;15;44;82;21;26;31;11
IWAN SETIAWAN;5995430;S1 - Pendidikan Geografi;758;475;0;0;3;4;;1;1;;3;1;;19;7;6;9;43;6;0;0;0
PUPUNG PURNAWARMAN;5979299;S3 - Pendidikan Bahasa Inggris;813;487;0;0;4;10;2;2;11;1;1;1;5;15;62;10;83;685;40;6;21;3
YAYAN NURBAYAN;258249;S1 - Pendidikan Bahasa Arab;850;498;0;0;1;9;1;0;8;0;1;1;1;4;7;2;65;290;33;6;3;1
WINNY LILIAWATI;257924;S2 - Pendidikan Fisika;1079;492;0;0;4;11;1;1;15;0;1;1;2;33;54;14;116;512;67;1;1;1
AHMAD MUDZAKIR;5994127;S2 - Pendidikan Kimia;1182;499;0;0;6;12;;2;16;;1;1;;40;97;20;115;637;60;0;0;0
DISMAN;5991816;S3 - Pendidikan Ekonomi;931;500;0;0;5;7;1;2;6;0;1;1;1;42;60;11;36;169;21;8;1;1
ARIF HUSEIN LUBIS;6755247;S1 - Pendidikan Bahasa Korea;664;439;0;0;3;7;2;1;4;0;1;1;2;14;43;11;41;197;24;4;6;4
ASEP YUDI PERMANA;5977218;S2 - Arsitektur;852;508;0;0;2;11;0;0;14;0;1;1;1;10;10;4;90;348;48;2;0;0
MOHAMMAD ALI;5980905;S3 - Pengembangan Kurikulum;703;399;0;0;3;27;;1;42;;1;1;;20;45;13;135;17415;84;0;0;0
ISROK ATUN;5993192;S1 - PGSD Kampus Sumedang;694;443;0;0;4;8;0;2;8;0;1;1;1;19;49;12;58;406;42;1;0;0
